Final Standing ,Name               ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Final Points
1,Max Verstappen,0,25,0,34,26,25,15,25,25,6,27,25,25,26,26,25,6,25,25,25,13,25,454
2,Charles Leclerc,26,19,26,15,18,0,12,0,10,12,32,0,8,8,15,18,18,15,15,8,15,18,308
3,Sergio Perez,0,12,18,24,12,19,25,19,0,18,4,12,10,18,10,9,25,18,12,15,10,15,305
4,George Russell,12,10,15,12,10,15,10,15,12,0,17,15,15,12,18,15,0,4,11,13,34,10,275
5,Carlos Sainz,18,15,0,5,15,12,18,0,19,25,6,11,12,15,4,12,15,0,0,10,22,12,246
6,Lewis Hamilton,15,1,12,0,8,10,4,12,15,16,16,18,19,0,12,10,2,10,18,18,24,0,240
7,Lando Norris,0,6,10,19,0,4,9,2,0,8,6,6,6,0,6,6,12,1,8,2,2,9,122
8,Esteban Ocon,6,8,6,0,4,6,0,1,8,0,13,4,2,6,2,0,0,12,0,4,4,6,92
9,Fernando Alonso,2,0,0,0,0,2,6,6,2,10,1,8,4,10,8,0,0,6,6,0,10,0,81
10,Valtteri Bottas,8,0,4,12,6,8,2,0,6,0,0,0,0,0,0,0,0,0,0,1,2,0,49
11,Daniel Ricciardo,0,0,8,3,0,0,0,4,0,0,2,2,0,0,0,0,10,0,0,6,0,2,37
12,Sebastian Vettel,0,0,0,4,0,0,1,8,0,2,0,0,1,4,0,0,4,8,4,0,0,1,37
13,Kevin Magnussen,10,2,0,3,0,0,0,0,0,1,6,0,0,0,0,0,0,0,2,0,1,0,25
14,Pierre Gasly,0,4,2,0,0,0,0,10,0,0,0,0,0,2,0,4,1,0,0,0,0,0,23
15,Lance Stroll,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,8,0,0,0,1,4,18
16,Mick Schumacher,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,12
17,Yuki Tsunoda,4,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12
18,Zhou Guanyu,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,6
19,Alex Albon,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
20,Nicolas Latifi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
21,Nyck de Vries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
22,Nico Hulkenberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
